iter	TotalF1:average=Micro	MultiClass
716	1	0.1069305872
717	1	0.1067139165
718	1	0.1065687452
719	1	0.1064040782
720	1	0.1062097687
721	1	0.1060106205
722	1	0.10578843
723	1	0.1056790788
724	1	0.1054368525
725	1	0.1053352525
726	1	0.1052129238
727	1	0.1049424407
728	1	0.1048247745
729	1	0.1047023284
730	1	0.1045083712
731	1	0.1042361734
732	1	0.1040101307
733	1	0.1038967042
734	1	0.1036803271
735	1	0.1034769275
736	1	0.1032242605
737	1	0.1030111131
738	1	0.1028191877
739	1	0.1026063691
740	1	0.1023685469
741	1	0.1022242094
742	1	0.102032695
743	1	0.1017747079
744	1	0.1014915409
745	1	0.1012996742
746	1	0.1010581878
747	1	0.1009521954
748	1	0.100771979
749	1	0.100652422
750	1	0.1005154129
751	1	0.1004029142
752	1	0.1002641788
753	1	0.1000543785
754	1	0.09985783753
755	1	0.09976341331
756	1	0.09951570242
757	1	0.09936537531
758	1	0.09923663423
759	1	0.09910715326
760	1	0.09896474181
761	1	0.0987113819
762	1	0.09858044464
763	1	0.09849002523
764	1	0.09836116671
765	1	0.0981250357
766	1	0.09803101079
767	1	0.0979037495
768	1	0.09770159476
769	1	0.09753823735
770	1	0.09745663204
771	1	0.09733584773
772	1	0.09721039505
773	1	0.09703587467
774	1	0.09691080956
775	1	0.09676381196
776	1	0.09663393169
777	1	0.09647481396
778	1	0.0962998884
779	1	0.0961034003
780	1	0.09591036502
781	1	0.09568909055
782	1	0.09546854424
783	1	0.0952299939
784	1	0.09506414082
785	1	0.09492844711
786	1	0.09477116737
787	1	0.09465714191
788	1	0.0945335096
789	1	0.09434132579
790	1	0.09415002867
791	1	0.09399121629
792	1	0.09381202168
793	1	0.09370122003
794	1	0.09354253097
795	1	0.09340160517
796	1	0.0932643436
797	1	0.09314647775
798	1	0.09293398803
799	1	0.09283307508
800	1	0.0927533195
801	1	0.09263552999
802	1	0.09253971407
803	1	0.09239288089
804	1	0.09222463784
805	1	0.09208163331
806	1	0.09198009791
807	1	0.09187973108
808	1	0.09175340345
809	1	0.09166025349
810	1	0.09146109943
811	1	0.09133964569
812	1	0.09122899085
813	1	0.09111986276
814	1	0.09098677042
815	1	0.09086173467
816	1	0.09076806208
817	1	0.09061350115
818	1	0.0904035482
819	1	0.09023498218
820	1	0.09008293453
821	1	0.08990124425
822	1	0.08977248555
823	1	0.08961737851
824	1	0.08945056826
825	1	0.08933261433
826	1	0.08916128253
827	1	0.08902958189
828	1	0.08888226132
829	1	0.08880597031
830	1	0.08869194484
831	1	0.08850962037
832	1	0.08840520762
833	1	0.0883363625
834	1	0.0881404851
835	1	0.08798608859
836	1	0.08780800968
837	1	0.0876152915
838	1	0.08749872339
839	1	0.08735072753
840	1	0.08721392986
841	1	0.08711105561
842	1	0.08694250134
843	1	0.08674556108
844	1	0.08665953404
845	1	0.08657310182
846	1	0.08647235917
847	1	0.08628443853
848	1	0.08613695941
849	1	0.08598124167
850	1	0.08578639776
851	1	0.08560606982
852	1	0.08548866787
853	1	0.08539651031
854	1	0.08531260312
855	1	0.0852012025
856	1	0.0850866368
857	1	0.08499030414
858	1	0.08485421699
859	1	0.084734061
860	1	0.08462110427
861	1	0.08454938767
862	1	0.08433789034
863	1	0.08425990815
864	1	0.08411251712
865	1	0.08400950194
866	1	0.08392615848
867	1	0.08381926181
868	1	0.08368276362
869	1	0.0836017925
870	1	0.08352057476
871	1	0.08341727184
872	1	0.08334746956
873	1	0.08325388506
874	1	0.08313179126
875	1	0.08301047846
876	1	0.08295011273
877	1	0.08284824262
878	1	0.08271848566
879	1	0.08262254055
880	1	0.0825178753
881	1	0.08244191313
882	1	0.0822980219
883	1	0.08215522876
884	1	0.08204275355
885	1	0.08190714792
886	1	0.08181163736
887	1	0.08169781742
888	1	0.08158661646
889	1	0.08151039005
890	1	0.08139155529
891	1	0.08132593985
892	1	0.08124869168
893	1	0.08116716271
894	1	0.08108474118
895	1	0.08094308724
896	1	0.08081418761
897	1	0.08069710863
898	1	0.08060065265
899	1	0.08041607914
900	1	0.08032392157
901	1	0.08017836852
902	1	0.08011449124
903	1	0.07997957266
904	1	0.07987797267
905	1	0.07976503356
906	1	0.07967599998
907	1	0.07960489408
908	1	0.07950420427
909	1	0.07937159932
910	1	0.07924216533
911	1	0.0790795889
912	1	0.07890219117
913	1	0.07874862263
914	1	0.07862365147
